,episode steps,episode reward,accuracy,100-eps mean: 
0,14,15.0,100.0,0.0
1,31,6.0,93.75,10.22
2,39,8.0,88.24,35.23
3,49,29.0,83.33,358.65
4,80,15.0,90.24,411.79
5,97,11.0,90.0,
6,110,10.0,89.09,
7,122,11.0,88.14,
8,135,7.0,87.5,
9,144,6.0,86.15,
10,152,7.0,84.85,
11,161,7.0,83.33,
12,170,18.0,82.09,
13,190,10.0,83.54,
14,202,6.0,83.13,
15,210,14.0,82.14,
16,226,18.0,82.42,
17,246,6.0,83.5,
18,254,6.0,82.69,
19,262,14.0,81.73,
20,278,11.0,81.98,
21,291,11.0,81.9,
22,304,6.0,81.82,
23,312,14.0,81.15,
24,328,7.0,81.4,
25,337,11.0,80.77,
26,350,13.0,80.74,
27,365,9.0,80.99,
28,376,10.0,80.69,
29,388,18.0,80.54,
30,408,8.0,81.37,
31,418,9.0,80.98,
32,429,12.0,80.72,
33,443,14.0,80.81,
34,459,8.0,81.11,
35,469,8.0,80.77,
36,479,8.0,80.43,
37,489,6.0,80.11,
38,497,9.0,79.68,
39,508,7.0,79.37,
40,517,8.0,78.95,
41,527,10.0,78.65,
42,539,9.0,78.57,
43,550,8.0,78.39,
44,560,7.0,78.11,
45,569,16.0,77.72,
46,587,21.0,78.3,
47,610,7.0,79.3,
48,619,11.0,78.95,
49,632,31.0,78.97,
50,665,20.0,80.62,
51,687,13.0,81.25,
52,702,9.0,81.36,
53,713,6.0,81.21,
54,721,12.0,80.92,
55,735,6.0,80.9,
56,743,11.0,80.62,
57,756,6.0,80.55,
58,764,7.0,80.27,
59,773,12.0,79.93,
60,787,8.0,80.0,
61,797,6.0,79.8,
62,805,9.0,79.54,
63,816,8.0,79.34,
64,826,10.0,79.15,
65,838,9.0,79.1,
66,849,10.0,78.98,
67,861,9.0,78.93,
68,872,16.0,78.82,
69,890,7.0,79.15,
70,899,14.0,78.92,
71,915,6.0,79.12,
72,923,7.0,78.89,
73,932,10.0,78.59,
74,944,8.0,78.55,
75,954,7.0,78.39,
76,963,13.0,78.16,
77,978,7.0,78.31,
78,987,9.0,78.09,
79,998,13.0,77.99,
80,1013,11.0,78.14,
81,1026,12.0,78.17,
82,1040,8.0,78.25,
83,1050,6.0,78.1,
84,1058,10.0,77.89,
85,1070,6.0,77.81,
86,1078,18.0,77.6,
87,1098,6.0,77.97,
88,1106,9.0,77.78,
89,1117,8.0,77.64,
90,1127,8.0,77.5,
91,1137,7.0,77.36,
92,1146,9.0,77.17,
93,1157,6.0,77.09,
94,1165,8.0,76.9,
95,1175,9.0,76.72,
96,1186,7.0,76.64,
97,1195,12.0,76.46,
98,1209,9.0,76.56,
99,1220,19.0,76.48,
100,1241,14.0,76.96,
101,1257,6.0,77.15,
102,1265,16.0,76.98,
103,1283,8.0,77.21,
104,1293,8.0,77.09,
105,1303,7.0,76.97,
106,1312,8.0,76.81,
107,1322,6.0,76.69,
108,1330,6.0,76.52,
109,1338,25.0,76.3,
110,1365,11.0,76.99,
111,1378,10.0,77.02,
112,1390,12.0,77.0,
113,1404,6.0,77.08,
114,1412,14.0,76.92,
115,1428,21.0,77.05,
116,1451,9.0,77.52,
117,1462,22.0,77.46,
118,1486,16.0,77.94,
119,1504,8.0,78.17,
120,1514,42.0,78.06,
121,1558,46.0,79.25,
122,1606,8.0,80.42,
123,1616,6.0,80.32,
124,1624,12.0,80.19,
125,1638,21.0,80.19,
126,1661,10.0,80.5,
127,1673,18.0,80.46,
128,1693,13.0,80.66,
129,1708,11.0,80.72,
130,1721,17.0,80.71,
131,1740,10.0,80.88,
132,1752,7.0,80.84,
133,1761,8.0,80.72,
134,1771,9.0,80.64,
135,1782,6.0,80.58,
136,1790,32.0,80.46,
137,1824,12.0,81.0,
138,1838,15.0,81.02,
139,1855,33.0,81.11,
140,1890,13.0,81.65,
141,1905,20.0,81.69,
142,1927,13.0,81.89,
143,1942,33.0,81.92,
144,1977,7.0,82.4,
145,1986,22.0,82.3,
146,2010,28.0,82.51,
147,2040,7.0,82.85,
148,2049,10.0,82.75,
149,2061,20.0,82.71,
150,2083,32.0,82.88,
151,2117,7.0,83.26,
152,2126,20.0,83.17,
153,2148,22.0,83.32,
154,2172,15.0,83.49,
155,2189,23.0,83.55,
156,2214,21.0,83.73,
157,2237,38.0,83.88,
158,2277,20.0,84.29,
159,2299,10.0,84.41,
160,2311,10.0,84.38,
161,2323,31.0,84.34,
162,2356,34.0,84.62,
163,2392,15.0,84.92,
164,2409,31.0,84.95,
165,2442,20.0,85.2,
166,2464,12.0,85.3,
167,2478,62.0,85.29,
168,2542,24.0,85.89,
169,2568,83.0,86.02,
170,2653,20.0,86.78,
171,2675,9.0,86.85,
172,2686,9.0,86.8,
173,2697,63.0,86.75,
174,2762,13.0,87.23,
175,2777,6.0,87.23,
176,2785,37.0,87.16,
177,2824,28.0,87.37,
178,2854,21.0,87.49,
179,2877,42.0,87.55,
180,2921,10.0,87.79,
181,2933,82.0,87.75,
182,3017,306.0,88.29,
183,3325,8.0,90.13,
184,3335,16.0,90.09,
185,3353,100.0,90.09,
186,3455,20.0,90.51,
187,3477,88.0,90.53,
188,3567,99.0,90.86,
189,3668,25.0,91.21,
190,3695,94.0,91.24,
191,3791,402.0,91.53,
192,4195,134.0,92.76,
193,4331,83.0,93.06,
194,4416,149.0,93.21,
195,4567,42.0,93.5,
196,4611,273.0,93.54,
197,4886,44.0,94.04,
198,4932,1583.0,94.07,
199,6517,327.0,95.95,
200,6846,55.0,96.18,
201,6903,257.0,96.2,
202,7162,141.0,96.35,
203,7305,101.0,96.42,
204,7408,107.0,96.46,
205,7517,353.0,96.51,
206,7872,328.0,96.69,
207,8202,796.0,96.83,
208,9000,81.0,97.16,
209,9083,469.0,97.18,
210,9554,475.0,97.33,
211,10031,6.0,97.47,
212,10039,152.0,97.46,
213,10193,191.0,97.49,
214,10386,102.0,97.53,
215,10490,681.0,97.55,
216,11173,315.0,97.71,
217,11490,420.0,97.77,
218,11912,43.0,97.85,
219,11957,837.0,97.85,
220,12796,313.0,98.01,
221,13111,490.0,98.05,
222,13603,409.0,98.12,
223,14014,742.0,98.18,
224,14758,153.0,98.27,
225,14913,547.0,98.28,
226,15462,842.0,98.34,
227,16306,135.0,98.43,
228,16443,36.0,98.44,
229,16481,84.0,98.44,
230,16567,21.0,98.44,
231,16590,16.0,98.43,
232,16608,185.0,98.43,
233,16795,42.0,98.44,
234,16839,828.0,98.44,
235,17669,34.0,98.51,
236,17705,155.0,98.51,
237,17862,779.0,98.51,
238,18643,581.0,98.58,
239,19226,25.0,98.62,
240,19253,249.0,98.61,
241,19504,481.0,98.63,
242,19987,19.0,98.66,
243,20008,13.0,98.65,
244,20023,123.0,98.65,
245,20148,19.0,98.65,
246,20169,27.0,98.65,
247,20198,121.0,98.64,
248,20321,30.0,98.65,
249,20353,188.0,98.64,
250,20543,80.0,98.65,
251,20625,369.0,98.65,
252,20996,128.0,98.67,
253,21126,905.0,98.68,
254,22033,103.0,98.73,
255,22138,358.0,98.73,
256,22498,96.0,98.75,
257,22596,590.0,98.75,
258,23188,63.0,98.78,
259,23253,68.0,98.78,
260,23323,70.0,98.78,
261,23395,556.0,98.77,
262,23953,702.0,98.8,
263,24657,275.0,98.83,
264,24934,52.0,98.84,
265,24988,1728.0,98.84,
266,26718,1115.0,98.92,
267,27835,630.0,98.96,
268,28467,195.0,98.98,
269,28664,204.0,98.99,
270,28870,969.0,98.99,
271,29841,438.0,99.02,
272,30281,331.0,99.03,
273,30614,93.0,99.04,
274,30709,803.0,99.04,
275,31514,343.0,99.06,
276,31859,69.0,99.07,
277,31930,243.0,99.07,
278,32175,91.0,99.07,
279,32268,169.0,99.07,
280,32439,186.0,99.07,
281,32627,1323.0,99.07,
282,33952,313.0,99.11,
283,34267,72.0,99.12,
284,34341,959.0,99.11,
285,35302,404.0,99.14,
286,35708,362.0,99.14,
287,36072,446.0,99.15,
288,36520,861.0,99.16,
289,37383,604.0,99.18,
290,37989,833.0,99.19,
291,38824,101.0,99.2,
292,38927,299.0,99.2,
293,39228,203.0,99.21,
294,39433,109.0,99.21,
295,39544,363.0,99.21,
296,39909,255.0,99.21,
297,40166,829.0,99.21,
298,40997,507.0,99.23,
299,41506,12.0,99.24,
300,41520,15.0,99.23,
301,41537,194.0,99.23,
302,41733,382.0,99.23,
303,42117,383.0,99.24,
304,42502,524.0,99.24,
305,43028,206.0,99.25,
306,43236,489.0,99.25,
307,43727,360.0,99.26,
308,44089,297.0,99.26,
309,44388,52.0,99.26,
310,44442,178.0,99.26,
311,44622,410.0,99.26,
312,45034,1229.0,99.27,
313,46265,253.0,99.28,
314,46520,1425.0,99.29,
315,47947,290.0,99.31,
316,48239,188.0,99.31,
317,48429,491.0,99.31,
318,48922,1327.0,99.31,
319,50251,161.0,99.33,
320,50414,1173.0,99.33,
321,51589,111.0,99.35,
322,51702,231.0,99.34,
323,51935,20.0,99.35,
324,51957,374.0,99.34,
325,52333,329.0,99.35,
326,52664,36.0,99.35,
327,52702,297.0,99.35,
328,53001,45.0,99.35,
329,53048,9.0,99.35,
330,53059,762.0,99.35,
331,53823,43.0,99.35,
332,53868,426.0,99.35,
333,54296,561.0,99.35,
334,54859,71.0,99.36,
335,54932,423.0,99.36,
336,55357,262.0,99.36,
337,55621,87.0,99.36,
338,55710,173.0,99.36,
339,55885,55.0,99.36,
340,55942,480.0,99.36,
341,56424,44.0,99.36,
342,56470,82.0,99.36,
343,56554,1759.0,99.36,
344,58315,311.0,99.38,
345,58628,816.0,99.38,
346,59446,217.0,99.39,
347,59665,1164.0,99.39,
348,60831,24.0,99.4,
349,60857,528.0,99.4,
350,61387,271.0,99.4,
351,61660,825.0,99.4,
352,62487,360.0,99.41,
353,62849,1230.0,99.41,
354,64081,235.0,99.42,
355,64318,154.0,99.42,
356,64474,158.0,99.42,
357,64634,9.0,99.42,
358,64645,215.0,99.42,
359,64862,398.0,99.42,
360,65262,88.0,99.42,
361,65352,644.0,99.42,
362,65998,1848.0,99.43,
363,67848,160.0,99.44,
364,68010,469.0,99.44,
365,68481,257.0,99.44,
366,68740,25.0,99.44,
367,68767,134.0,99.44,
368,68903,462.0,99.44,
369,69367,50.0,99.44,
370,69419,231.0,99.44,
371,69652,191.0,99.44,
372,69845,10.0,99.44,
373,69857,187.0,99.44,
374,70046,315.0,99.44,
375,70363,1139.0,99.44,
376,71504,229.0,99.45,
377,71735,395.0,99.45,
378,72132,937.0,99.45,
379,73071,242.0,99.46,
380,73315,525.0,99.46,
381,73842,1051.0,99.46,
382,74895,648.0,99.47,
383,75545,181.0,99.47,
384,75728,854.0,99.47,
385,76584,419.0,99.48,
386,77005,46.0,99.48,
387,77053,174.0,99.48,
388,77229,55.0,99.48,
389,77286,1535.0,99.48,
390,78823,132.0,99.48,
391,78957,466.0,99.48,
392,79425,1614.0,99.49,
393,81041,46.0,99.5,
394,81089,454.0,99.49,
395,81545,676.0,99.5,
396,82223,27.0,99.5,
397,82252,122.0,99.5,
398,82376,338.0,99.5,
399,82716,785.0,99.5,
400,83503,98.0,99.5,
401,83603,300.0,99.5,
402,83905,115.0,99.5,
403,84022,362.0,99.5,
404,84386,733.0,99.5,
405,85121,92.0,99.51,
406,85215,270.0,99.5,
407,85487,787.0,99.51,
408,86276,24.0,99.51,
409,86302,910.0,99.51,
410,87214,170.0,99.51,
411,87386,473.0,99.51,
412,87861,75.0,99.51,
413,87938,80.0,99.51,
414,88020,494.0,99.51,
415,88516,68.0,99.51,
416,88586,23.0,99.51,
417,88611,328.0,99.51,
418,88941,397.0,99.51,
419,89340,1010.0,99.51,
420,90352,1780.0,99.52,
421,92134,616.0,99.53,
422,92752,405.0,99.53,
423,93159,695.0,99.53,
424,93856,442.0,99.53,
425,94300,116.0,99.53,
426,94418,378.0,99.53,
427,94798,199.0,99.53,
428,94999,618.0,99.53,
429,95619,1103.0,99.53,
430,96724,176.0,99.54,
431,96902,427.0,99.54,
432,97331,305.0,99.54,
433,97638,304.0,99.54,
434,97944,81.0,99.54,
435,98027,1138.0,99.54,
436,99167,744.0,99.54,
437,99913,35.0,99.55,
438,99950,49.0,99.55,
